user_id:token,item_id:token,name:token_seq,rating:float,play_frequency,rank,cumulative_frequency,estimated_rating:label,label:float
b33b1e291a7776c97d06fc2f009143db05fe18cf,6b22de04-fb48-44aa-bd02-c1427f635477,emery,139,1.0,1.0,0.0,4.0,4
3778d99d7d25881d0410c2536cd58ca204dfa3c0,674bf89f-8e70-4472-929d-6b4ed6f98c88,benny benassi,442,0.93446088794926,1.0,0.0,4.0,4
f47a5ec7aad457bf562f5085677b377c23d4e97d,1afcd689-9be4-4d1a-a9fa-49e086250f51,dethklok,104,1.0,1.0,0.0,4.0,4
474f6f83f116390dc035dd2f23e1831e83bfe23f,f6f2326f-6b25-4170-b89d-e235b25508e8,sigur rós,596,0.3271130625686059,2.0,0.6333699231613611,1.4665203073545556,1
853c83d734de1f52c0e599ff2851ba83ba4b7492,ac9a487a-d9d2-4f27-bb23-0f4686488345,lil' wayne,5,1.0,1.0,0.0,4.0,4
b62b98aecde18c2dfc3ab2943de2d426d78a0596,f90e8b26-9e52-4669-a5c9-e28529c47894,snoop dogg,66,0.4429530201342282,2.0,0.5570469798657718,1.7718120805369129,2
7e6d73ba26352289a84ed93afda6d0519f3a9377,191de76f-a224-445d-b041-54df16d65bf7,the yardbirds,84,0.2545454545454545,3.0,0.7454545454545455,1.018181818181818,1
7ca8d6616b199750f2541b7581edab1c82ea2578,a43b2ae6-5877-41d1-a99a-592e1839035a,the merry thoughts,809,0.2864730878186969,2.0,0.3498583569405099,2.6005665722379607,3
2ae20f46e9cff143aea72554e5def01cec1082fd,3c0a0074-4f26-4d3b-b723-a66bf6cc3753,hanson,93,1.0,1.0,0.0,4.0,4
d808f51de5cec68f5675e0bcfe36c4c6e8f5b1b0,31745282-b1ea-4d62-939f-226b14d68e7c,in flames,56,0.5833333333333334,1.0,0.0,4.0,4
85c2462dc5a444b3c81bcf73cbe7a55515c492a7,e7bb8361-528d-4530-b744-675dfda9b617,dzk,268,0.5469387755102041,1.0,0.0,4.0,4
2a9f1c7798c3c4ac05e2d677bdaa6ad7cefb81fc,3285dc48-9505-469d-ad8a-bdf2d3dba632,swans,169,1.0,1.0,0.0,4.0,4
d36c6f8d20eaad9e0b1740402e9e861f45f75c89,533ee016-4a2d-40cd-9ae4-9e3923a63872,falkenbach,40,0.2702702702702703,3.0,0.7297297297297297,1.0810810810810811,1
b61bb642f34b4c2183fd468b9863a78dddff631b,8f389bf5-a950-4a2f-a962-daf08151ee33,waldeck,309,1.0,1.0,0.0,4.0,4
09dfc5e1586a80ce7c065d4852310bde586e8486,4f8b7186-b2a2-40db-97ae-6e1cd46d57b1,all that remains,102,1.0,1.0,0.0,4.0,4
3e60257aa24ae668660aa2da4ca29e3f469c6cab,c648509e-9916-4c56-ab63-652a03da16dd,anberlin,458,0.7896551724137931,1.0,0.0,4.0,4
bffc1f9d877ef97c84e55beda7be9b8f8f1fd17e,0d2ae2cd-0683-4b6c-a296-eb83ecce6519,sweet sensation,110,1.0,1.0,0.0,4.0,4
d34b35a1e512c663457a17c46a566f323aef390e,5b32946a-4c08-4a75-b1b1-60700470671f,death in vegas,158,1.0,1.0,0.0,4.0,4
d6a8e88684962506a8c2d33ba18a90a2fa092857,328068c9-ee60-408e-8c24-b1dc1ae08b94,vetiver,277,0.3305489260143198,2.0,0.4486873508353221,2.2052505966587117,2
